Time,Throughput
322,9.96778
323,9.96307
324,9.96777
325,9.958359999999999
326,9.96307
327,9.958369999999999
328,9.96778
329,9.98288
330,9.96778
331,9.96307
332,9.96778
333,9.95366
334,9.96307
335,9.972480000000001
336,9.96307
337,9.971070000000001
338,9.97718
339,9.96307
340,9.96307
341,9.97718
342,9.94544
343,9.967770000000002
344,9.96307
345,9.967780000000001
346,9.98829
347,9.95366
348,9.97718
349,9.96307
350,9.94583
351,9.972480000000001
352,9.967780000000001
353,9.96307
354,9.956
355,9.953669999999999
356,9.972480000000001
357,9.97719
358,9.96308
359,9.997630000000001
360,9.94896
361,9.97719
362,9.95837
363,9.95581
364,9.96307
365,9.96778
366,9.972480000000001
367,9.93955
368,9.972480000000001
369,9.990459999999999
370,9.958369999999999
371,9.967780000000001
372,9.96307
373,9.96308
374,9.95837
375,9.958369999999999
376,9.967780000000001
377,9.95721
378,9.98659
379,9.96777
380,9.97719
381,9.96777
382,9.953669999999999
383,9.96308
384,9.967780000000001
385,9.96307
386,9.97443
387,9.96777
388,9.97719
389,9.96307
390,9.96307
391,9.95366
392,9.963069999999998
393,9.972480000000001
394,10.009730000000001
395,9.93485
396,9.972480000000001
397,9.96777
398,9.94896
399,9.95904
400,9.972480000000001
401,9.967770000000002
