Time,Flow,Throughput
146,0,4.66166
146,1,0.20592
146,2,5.31552
146,3,0.23504
147,0,4.74163
147,1,0.209664
147,2,5.21674
147,3,0.23088
148,0,4.73222
148,1,0.209248
148,2,5.23555
148,3,0.231296
149,0,5.48016
149,1,0.240864
149,2,4.51101
149,3,0.298144
150,0,6.34099
150,1,0.280384
150,2,3.62208
150,3,0.160576
151,0,6.33629
151,1,0.280384
151,2,3.62208
151,3,0.16016
152,0,6.41155
152,1,0.283712
152,2,3.55622
152,3,0.157248
153,0,6.29866
153,1,0.296128
153,2,3.66912
153,3,0.16224
154,0,5.24496
154,1,0.273824
154,2,4.71341
154,3,0.206752
155,0,5.13677
155,1,0.227552
155,2,4.8216
155,3,0.213408
156,0,5.18851
156,1,0.229216
156,2,4.77926
156,3,0.210912
157,0,5.08032
157,1,0.224224
157,2,4.88147
157,3,0.28832
158,0,6.48682
158,1,0.285792
158,2,3.50448
158,3,0.17712
159,0,6.57149
159,1,0.2912
159,2,3.38218
159,3,0.14976
160,0,6.61853
160,1,0.292448
160,2,3.35866
160,3,0.148512
161,0,6.5809
161,1,0.2912
161,2,3.38218
161,3,0.148928
162,0,5.71744
162,1,0.311488
162,2,4.24301
162,3,0.186368
163,0,5.33904
163,1,0.236288
163,2,4.61933
163,3,0.204672
164,0,5.38608
164,1,0.237952
164,2,4.5817
164,3,0.202592
165,0,5.2967
165,1,0.23504
165,2,4.66166
165,3,0.205088
166,0,5.04739
166,1,0.266976
166,2,4.92038
166,3,0.316288
167,0,5.63069
167,1,0.248768
167,2,4.34179
167,3,0.191776
168,0,5.74829
168,1,0.254176
168,2,4.21949
168,3,0.186368
169,0,5.82355
169,1,0.257504
169,2,4.13482
169,3,0.18304
170,0,5.83766
170,1,0.25792
170,2,4.13952
170,3,0.182624
171,0,5.84237
171,1,0.258336
171,2,4.12541
171,3,0.182624
172,0,5.80944
172,1,0.257088
172,2,4.14422
172,3,0.183456
173,0,5.21674
173,1,0.304
173,2,4.74634
173,3,0.208
174,0,4.31827
174,1,0.19136
174,2,5.6448
174,3,0.249184
175,0,4.13011
175,1,0.18096
175,2,5.85354
175,3,0.343584
176,0,5.61187
176,1,0.248768
176,2,4.34179
176,3,0.196576
177,0,5.70125
177,1,0.25168
177,2,4.27594
177,3,0.188448
178,0,5.79533
178,1,0.256256
178,2,4.16774
178,3,0.184704
179,0,5.8753
179,1,0.259584
179,2,4.08778
179,3,0.181376
180,0,5.6401
180,1,0.324352
180,2,4.31357
180,3,0.188032
181,0,4.50643
181,1,0.199264
181,2,5.46134
181,3,0.241696
182,0,4.61462
182,1,0.20384
182,2,5.34845
182,3,0.236704
183,0,4.61933
183,1,0.204256
183,2,5.34845
183,3,0.236704
184,0,5.30141
184,1,0.233376
184,2,4.67702
184,3,0.30704
185,0,6.2281
185,1,0.274976
185,2,3.75379
185,3,0.165984
186,0,6.20928
186,1,0.27456
186,2,3.7585
186,3,0.1664
187,0,6.29395
187,1,0.27872
187,2,3.65971
187,3,0.161824
188,0,6.21869
188,1,0.274976
188,2,3.75379
188,3,0.165568
189,0,5.27318
189,1,0.292896
189,2,4.66637
189,3,0.205504
190,0,5.07091
190,1,0.223392
190,2,4.91098
190,3,0.217152
191,0,5.10854
191,1,0.22672
191,2,4.84982
191,3,0.21424
192,0,5.06621
192,1,0.223808
192,2,4.90378
192,3,0.290432
193,0,6.4727
193,1,0.28496
193,2,3.50918
193,3,0.176672
194,0,6.55267
194,1,0.289952
194,2,3.4057
194,3,0.151008
195,0,6.60442
195,1,0.292032
195,2,3.36336
195,3,0.148928
196,0,6.57619
196,1,0.290784
196,2,3.39158
196,3,0.149344
197,0,5.81635
