Time,Flow,Throughput
490,1,1.67661
491,0,2.9287
491,1,1.61229
492,0,2.61139
492,1,1.9296
493,0,2.38842
493,1,2.15258
494,0,2.36698
494,1,2.17402
495,0,2.24691
495,1,2.29837
496,0,2.87296
496,1,0.626048
497,0,4.51098
497,1,1.07411
498,0,3.27174
498,1,1.26925
499,0,3.01446
499,1,1.52653
500,0,2.76576
500,1,1.77523
501,0,2.5728
501,1,1.96819
502,0,2.55136
502,1,1.98963
503,0,2.5385
503,1,2.00678
504,0,2.4999
504,1,2.04109
505,0,1.27782
505,1,2.38413
506,0,1.0745
506,1,4.34803
507,0,1.52653
507,1,3.01446
508,0,1.67232
508,1,2.87296
509,0,1.74522
509,1,2.79578
510,0,1.81811
510,1,2.72288
511,0,1.90816
511,1,2.63712
512,0,2.02822
512,1,1.7152
513,0,4.288
513,1,1.05011
514,0,3.94925
514,1,0.596032
515,0,2.89869
515,1,1.63802
516,0,2.61997
516,1,1.92102
517,0,2.66714
517,1,1.87814
518,0,2.61139
518,1,1.9296
519,0,2.61139
519,1,1.9296
520,0,2.59424
520,1,1.95104
521,0,0.79328
521,1,2.70573
522,0,1.10906
522,1,4.47667
523,0,1.00339
523,1,2.84294
524,0,1.608
524,1,3.6249
525,0,1.70234
525,1,2.83866
526,0,1.77523
526,1,2.76576
527,0,1.87386
527,1,2.67142
528,0,1.95533
528,1,2.58566
529,0,2.09254
529,1,2.144
530,0,3.80346
530,1,0.0
531,0,4.08646
531,1,1.49773
532,0,2.97587
532,1,1.56941
533,0,2.91584
533,1,1.62515
534,0,2.91155
534,1,1.62944
535,0,2.91155
535,1,1.63373
536,0,2.86867
536,1,1.67232
537,0,2.40128
537,1,2.13971
538,0,2.09254
538,1,2.45274
539,0,1.87386
539,1,2.23405
540,0,2.33267
540,1,2.63712
541,0,2.52563
541,1,2.01965
542,0,2.54707
542,1,1.99392
543,0,2.59853
543,1,1.94246
544,0,2.31123
544,1,1.95962
545,0,2.34554
545,1,2.4656
546,0,2.02394
546,1,2.51706
547,0,1.90816
547,1,2.63712
548,0,2.22547
548,1,2.31123
549,0,2.61139
549,1,1.9296
550,0,2.62854
550,1,1.91674
551,0,2.67571
551,1,1.86528
552,0,2.69286
552,1,1.84384
553,0,2.16544
553,1,2.37984
554,0,2.16973
554,1,2.37126
555,0,2.05824
555,1,2.48275
556,0,2.25978
556,1,2.28122
557,0,2.7143
557,1,1.82669
558,0,2.7143
558,1,1.82669
559,0,2.7529
559,1,1.7881
560,0,2.69715
560,1,1.84384
561,0,2.2512
561,1,2.28979
562,0,2.24262
562,1,2.29837
563,0,2.15258
563,1,2.3927
564,0,2.26835
564,1,2.26835
565,0,2.79149
565,1,1.7495
566,0,2.77005
566,1,1.77523
567,0,2.8215
567,1,1.71949
568,0,2.71002
568,1,1.82669
569,0,2.29837
569,1,2.24691
570,0,2.29408
570,1,2.24691
571,0,2.20832
571,1,2.33267
572,0,2.24262
572,1,1.26496
573,0,4.52813
573,1,1.05101
574,0,3.5719
574,1,0.969088
575,0,2.95872
575,1,1.58227
576,0,2.86438
576,1,1.67661
577,0,2.50848
577,1,2.03251
578,0,2.4999
578,1,2.04109
579,0,2.4999
579,1,2.04538
580,0,2.48275
580,1,2.05824
581,0,2.26835
581,1,1.95104
582,0,2.28122
582,1,2.57709
583,0,2.42272
583,1,2.11827
584,0,2.4999
584,1,2.04109
585,0,2.50848
585,1,2.0368
586,0,2.51706
586,1,2.02394
587,0,2.52134
587,1,2.01965
588,0,2.50419
588,1,2.04109
589,0,2.0025
589,1,2.53421
590,0,1.55654
590,1,2.54278
591,0,2.08826
591,1,2.89395
592,0,2.22976
592,1,2.31123
593,0,2.27264
593,1,2.26835
594,0,2.34982
594,1,2.19546
595,0,2.37126
595,1,2.16973
596,0,2.15686
596,1,2.18259
597,0,2.01536
597,1,2.72717
598,0,1.66803
598,1,2.87296
599,0,2.5385
599,1,0.9648
